스트링 ID,국문,영문
SKL_5029_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상의 방어력을 {e1_amount_abs} 감소시킵니다.",
SKL_7029_NAME,달의 여전사,
SKL_7029_DESC,{e1_when_round}라운드부터는 가하는 피해량이 {e1_mult}배가 됩니다.,
CHR_029_NAME,오카미,
CHR_029_DESC,동쪽 대륙의 늑대수인,
CHR_029_STORY,동쪽 대륙에는 달을 신성시 하는 일족이 있다. 운명의 상대를 찾기 위해 로캣의 소문을 듣고 찾아왔다.,
CHR_029_SPECIES,늑대,
SKL_1030_NAME,발차기,
SKL_1030_DESC,적 하나에게 치명적인 피해를 입힌 뒤 투지를 {e1_amount} 획득합니다.,
SKL_5030_NAME,먹잇감 발견,
SKL_5030_DESC,"대상 방어력의 {e2_ratio:pct}를 무시하고, 대상이 잃은 체력에 비례해 최대 {e3_bonus:pct}까지 강한 피해량이 증가한 뒤 적 하나에게 피해를 입힙니다. 그 뒤 투지를 {e1_amount} 획득합니다.",
SKL_7030_NAME,위기 감지,
SKL_7030_DESC,"자신의 공격력이 각성으로 올라 있으면, 적을 때릴 때마다 가한 피해의 {e1_ratio:pct}만큼 체력을 회복하고 그 대상에게 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e2_amount}의 고정 피해를 {e2_turns}턴간 입힙니다.",
CHR_030_NAME,울브,wolve
CHR_030_DESC,누구에게도 마음을 열지 않는 슬픈 늑대,
CHR_030_STORY,"울브는 무리 생활을 하지 않는 개과 로캣몬이다. 설령 가족이라 하더라도 믿을 수 없다. 세상은 나 혼자 살아가는 것이니까. 배신의 아픔을 뼈저리게 알고 있던 울브는 늘 그렇게 다짐해왔다. 어느 날 마주친 인간이 말했다. ""달라지고 싶다면 로캣에서 만나자."" 달라지고 싶지 않다. 난 세상을 아니까. 그럼에도 울브는 로캣으로 향했다. 그저 재밌는 스포츠에 참가하러 갈 뿐이라고 스스로를 속이면서.",
CHR_030_SPECIES,갈기늑대,
SKL_1031_NAME,전광석화,
SKL_1031_DESC,적 하나에게 강한 피해를 입힙니다.,
SKL_5031_NAME,마구 찌르기,
SKL_5031_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 피해를 입힙니다. 그 뒤 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e2_amount}의 고정 피해를 {e2_turns}턴간 입힙니다.",
SKL_7031_NAME,불굴의 투지,
SKL_7031_DESC,자신이 전투불능이 되면 적 전체에게 약한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
CHR_031_NAME,울피,Wolfie
CHR_031_DESC,"과거 지하 결투장의 괴물이라 불렸던 야생의 늑대 수인, 이제는 자신이 지키고 싶은 동료와 함께 싸우기 위해 경기장에 선다.",
CHR_031_STORY,"어린 시절부터 지하 결투장에 갇혀 싸움만 하며 살아온 수인. 늑대의 뛰어난 후각과 청각, 폭발적인 신체능력을 지닌 인간형이다. 지하 결투장이 폐지되면서 자유로워진 그, 이제 본인의 의지로 배틀에 참가한다.",
CHR_031_SPECIES,늑대,
SKL_1032_NAME,3연속 찌르기,
SKL_1032_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 약한 피해를 입힙니다.",
SKL_5032_NAME,연막 투척,
SKL_5032_DESC,적 전체에게 약한 피해를 입히고 {e1_turns}턴간 공격이 빗나가게 만듭니다.,
SKL_7032_NAME,복수의 칼날,
SKL_7032_DESC,매 라운드 개시 시 상대 진영 선두에 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
CHR_032_NAME,카라,Kara
CHR_032_DESC,절대로 용서하지 않겠어... 복수하겠어...!,
CHR_032_STORY,"인간과 동물 사이에서 태어난 새로운 종족, 로캣몬. 그들은 인간의 특징을 강하게 물려받은 '인간형 로캣몬'과 동물의 특징을 강하게 물려받은 '동물형 로캣몬'으로 나뉘었습니다. 두 종족은 서로의 존재를 인정하지 않았고, 결국 돌이킬 수 없는 전쟁으로 번지고 말았으며 카라는 자기가 살던 고향의 유일한 생존자가 되었습니다. 동물형 로캣몬에게 복수의 칼날을 갈기 위해 카라는 닌자 암살부대에 들어갑니다. 그녀의 유일한 목표는 하나입니다. 자신의 모든 것을 빼앗아간 동물형 로캣몬에게 복수하는 것.",
CHR_032_SPECIES,까마귀,
SKL_1033_NAME,방어,
SKL_1033_DESC,"적 하나에게 피해를 입히고 {e1_turns}턴간 그 대상이 받는 회복량을 {e1_ratio:pct}로 줄입니다. 이어서 {e2_turns}턴간 그 대상이 받는 피해량을 {e2_ratio:pct} 증가시키고, {e3_turns}턴간 자신의 방어력을 {e3_amount} 증가시킵니다.",
SKL_5033_NAME,총공세,
SKL_5033_DESC,"적 하나에게 약한 피해를 입히고, 대상 최대 체력의 {e1_ratio:pct}만큼을 방어와 무관한 고정 피해로 더합니다. 이어서 {e2_turns}턴간 그 대상이 받는 피해량을 {e2_ratio:pct} 증가시키고, 전투가 끝날 때까지 자신의 방어력을 {e3_amount}, 체력을 {e4_amount} 증가시킵니다.",
SKL_7033_NAME,불굴,
SKL_7033_DESC,피해를 입으면 전투 중 한 번 버팀을 얻습니다. 버팀으로 견뎌 내면 자신의 체력을 최대치의 {e2_ratio:pct}만큼 회복합니다.,
CHR_033_NAME,카르노가디안,Carnoguardian
CHR_033_DESC,공룡 카르노타우루스,
CHR_033_STORY,남아메리카 대륙에서 서식하다 강자를 찾아 찾아왔다.,
CHR_033_SPECIES,알비노 도마뱀,
SKL_1034_NAME,발굽 찍기,
SKL_1034_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 그 대상이 받는 피해량을 {e1_ratio:pct} 증가시킵니다.",
SKL_5034_NAME,맹수 참격,
SKL_5034_DESC,적 하나에게 강한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_7034_NAME,거대한 위협,
SKL_7034_DESC,대상의 체력이 자신보다 낮을 때는 그 대상에게 가하는 피해량이 {e1_mult}배가 됩니다.,
CHR_034_NAME,카이론,Cairon
CHR_034_DESC,"사자와 염소, 뱀의 본능을 한 몸에 지닌 이형의 수인",
CHR_034_STORY,"여러 동물의 특징을 지녀 '괴물'이라 불리던 그. 
그의 괴물 같은 모습과 특별한 능력으로 로캣배틀을 지배하려 한다.",
CHR_034_SPECIES,사자,
SKL_1035_NAME,쟤가 나 괴롭혀!,
SKL_1035_DESC,"적 하나가 {e1_turns}턴간 받는 피해량을 {e1_ratio:pct} 증가시키고, 공격력을 {e2_amount_abs}, 속도를 {e3_amount_abs} 감소시킵니다. 같은 기간 동안 그 대상이 받는 회복량을 {e4_ratio:pct}로 줄입니다.",
SKL_5035_NAME,엄마한테 이를 거야!,
SKL_5035_DESC,적 전체에게 피해를 입히고 {e1_turns}턴간 행동 불능 상태로 만듭니다. 아군 전체는 {e2_turns}턴간 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다.,
SKL_7035_NAME,NG!,
SKL_7035_DESC,전투 개시 시 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻습니다. 자신이 전투불능이 되면 적 전체를 {e2_turns}턴간 행동 불능 상태로 만듭니다.,
CHR_035_NAME,코스모 도리스,Cosmo Doris
CHR_035_DESC,선수 대기줄이었다고? 관중석 예매 아니었어...?,
CHR_035_STORY,만타가오리 수인과 크로모도리스 수인의 혼혈. 호기심 많은 덜렁이. 로캣 대회를 동경하던 코스모는 가진 돈을 탈탈 털어 예매에 성공했다! 그러나 관중석이 아닌 선수 등록을 했다는 사실을 경기 당일에 알게 되는데...,
CHR_035_SPECIES,갯민숭달팽이,
SKL_1036_NAME,나도 널 사랑해,
SKL_1036_DESC,적 하나에게 약한 피해를 입히고 자신의 체력을 최대치의 {e1_ratio:pct}만큼 회복합니다. {e2_turns}턴간 그 대상의 공격력을 {e2_amount_abs} 감소시킵니다.,
SKL_5036_NAME,그럼 잘 먹겠습니다!,
SKL_5036_DESC,"적 하나에게 강한 피해를 입히고 가한 피해의 {e1_ratio:pct}만큼 자신의 체력을 회복합니다. 이어서 그 대상의 이로운 상태를 모두 흡수하고, 흡수한 하나마다 최대치의 {e2_ratio:pct}만큼 더 회복합니다.",
SKL_7036_NAME,거짓말쟁이!,
SKL_7036_DESC,자신에게 걸린 해로운 상태 하나마다 자신이 입히는 피해량이 {e1_per:pct}씩 증가합니다.,
CHR_036_NAME,키르유,kirryou
CHR_036_DESC,사랑하기에 먹었을 뿐이야!,
CHR_036_STORY,"키르유를 너무나 사랑한 남자가 있었다. 그는 자신의 모든 것을 키르유에게 양보했고, 언제나 자신의 모든 사랑과 애정을 쏟아부었다. 곧 얼마 지나지 않아 남자는 실종되었다. 뒤늦게 남자를 찾고자 집 안에 들어선 사람들은, 키르유를 마주치고 나서야 사건의 전말을 이해하고 말았다. 그들이 본 키르유는 어느 누구보다 황홀해보이는 표정을 짓고 있었다.",
CHR_036_SPECIES,파리지옥,
SKL_1037_NAME,잭 더 리퍼,
SKL_1037_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상의 마력을 {e1_amount_abs} 감소시킵니다. 같은 기간 동안 자신의 마력은 {e2_amount} 증가합니다.",
SKL_5037_NAME,샤를로트 코르데,
SKL_5037_DESC,"자신의 마력이 대상보다 앞선 1점마다 피해량이 {e1_per:pct}씩 늘어난 뒤, 적 하나에게 강한 피해를 입힙니다. 그 뒤 {e2_turns}턴간 간파를 얻습니다.",
SKL_7037_NAME,마타 하리,
SKL_7037_DESC,"매 라운드 개시 시 전투가 끝날 때까지 자신의 마력이 {e1_amount} 증가하며, {e1_upto}까지 쌓입니다.",
CHR_037_NAME,파르바,Parva
CHR_037_DESC,"천진한 미소 뒤에 맹독과 계산을 숨긴 채, 물을 응축해 전장을 지배하는 해 타입 수인.",
CHR_037_STORY,암살이 주특기였던 갯민숭달팽이 종족은 평화와 화합의 시대가 도래하면서 한동안 조용히 살았다. 갯민숭달팽이 종족의 파르바는 자신의 주특기인 독 활용과 암살능력을 활용하여 로캣 배틀에 참가하고자 한다 이 종족은 외견과는 다르게 매우 사나운 성격이라는 것을 알아야 한다,
CHR_037_SPECIES,꼬마비로드갯민숭달팽이,
SKL_1038_NAME,다이빙 어택,
SKL_1038_DESC,적 하나에게 치명적인 피해를 입힙니다.,
SKL_5038_NAME,일격필살,
SKL_5038_DESC,"대상 방어력의 {e1_ratio:pct}를 무시하고 적 하나에게 치명적인 피해를 입힌 뒤, {e2_turns}턴간 간파를 얻습니다.",
SKL_7038_NAME,보석 깃털,
SKL_7038_DESC,"전투 개시 시 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻고, 적을 쓰러뜨릴 때마다 같은 보호막을 다시 얻습니다.",
CHR_038_NAME,피코,Picko
CHR_038_DESC,아...안녕하세요....자..잘 부탁드려요...푸드덕(부끄러운 톤으로 날개를 퍼덕이며),
CHR_038_STORY,새를 사랑한 누군가의 집념이 담겨 있습니다. 공작+물총새를 모티브로 제작. 물고기를 좋아합니다. 부끄럼이 많지만 물고기가 있으면 환장해 버립니다. 자신의 아름다운 날개를 자랑스러워 하지만 부끄럼이 많아서 뽐내지는 않습니다. 은근히 칭찬 받으면 기뻐한다는 설정,
CHR_038_SPECIES,공작 · 물총새,
SKL_1039_NAME,가방으로 때리기,
SKL_1039_DESC,적 하나에게 피해를 입힙니다.,
SKL_5039_NAME,람쥐썬더,
SKL_5039_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 약한 피해를 입힙니다.",
SKL_7039_NAME,꺾이지 않는 마음,
SKL_7039_DESC,자신의 체력이 {e1_when_ratio:pct} 미만이면 매 라운드 개시 시 {e1_turns}턴간 공격력이 {e1_amount} 증가합니다.,
CHR_039_NAME,하따,
CHR_039_DESC,낙하산을 메고 뛰어내리는 하늘다람쥐가 있다는 소문이 있다..,
CHR_039_STORY,"원래 피막을 통해 하늘을 날던 하늘다람쥐 종족은, 본성의 여신 '디벨로'로 부터 인간화와 문명을 수여받게 되면서 복장 통일을 위해 피막이 없어지게 되었다. 그러나 여전히 하따는 새로 받은 문명을 이용해 다시 하늘을 날려는 꿈을 꾸고 있다.",
CHR_039_SPECIES,하늘다람쥐,
SKL_1040_NAME,태세정비,
SKL_1040_DESC,"아군 전체에게 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 부여하고, {e2_turns}턴간 방어력을 {e2_amount} 증가시킵니다.",
SKL_5040_NAME,최후의 호령,
SKL_5040_DESC,적 전체에게 피해를 입힙니다.,
SKL_7040_NAME,고고함,
SKL_7040_DESC,"매 라운드 개시 시 전투가 끝날 때까지 자신의 마력이 {e1_amount} 증가하며, {e1_upto}까지 쌓입니다.",
CHR_040_NAME,호루스,Horus
CHR_040_DESC,고고하고 든든한 방어자,
CHR_040_STORY,시비르기에서 꽤나 긴 혈통을 가지고 있는 로캣몬. 로켓 배틀이 화합의 상징이 되기 전부터 지하 결투장 폐쇄를 위해 힘써왔으나 화합의 장이 된 지금은 로켓배틀에 우호적이게 바뀌었다고 한다.,
CHR_040_SPECIES,매,
SKL_1041_NAME,강철날개,
SKL_1041_DESC,적 하나에게 강한 피해를 입힙니다.,
SKL_5041_NAME,푸른 칼날,
SKL_5041_DESC,"자신이 잃은 체력에 비례해 최대 {e3_bonus:pct}까지 피해량이 증가한 뒤, 적 하나를 {e2_hits}회 연속으로 타격합니다. 이와 함께 {e1_turns}턴간 속도와 무관하게 먼저 행동합니다.",
SKL_7041_NAME,불굴,
SKL_7041_DESC,매 라운드 개시 시 버팀을 얻습니다.,
CHR_041_NAME,호퍼,Hopper
CHR_041_DESC,가정을 지키기 위해 무술을 극한으로 단련한 로캣몬,
CHR_041_STORY,호프의 진화형 로캣몬. 대개 천적의 위협으로부터 자신과 가족을 지키기 위한 일념으로 수련을 거듭하여 진화한다. 날개 당수 한 번으로 돌보다 단단한 빙하도 반으로 쪼갤 수 있다. 평소에는 유순하지만 호프에게 위협을 가하는 이가 있으면 그 무엇보다도 흉폭해질 수 있다.,
CHR_041_SPECIES,펭귄,
SKL_1042_NAME,고요한 날개,
SKL_1042_DESC,"적 하나에게 약한 피해를 입히고, 체력이 가장 낮은 아군의 체력을 최대치의 {e1_ratio:pct}만큼 회복시킵니다. 자신의 투지를 {e2_amount} 획득합니다.",
SKL_5042_NAME,침묵의 날개,
SKL_5042_DESC,적 전체에게 약한 피해를 입히고 {e1_turns}턴간 특수기 사용을 봉인합니다.,
SKL_7042_NAME,치유의 힘,
SKL_7042_DESC,매 라운드 개시 시 체력이 가장 낮은 아군의 체력을 최대치의 {e1_ratio:pct}만큼 회복시킵니다.,
CHR_042_NAME,루나,Luna
CHR_042_DESC,"마음은 착하지만 날개가 검은색 이라는 이유로 무리에서 쫒겨났다. 
직접적인 공격보다 버프,디버프, 힐들로 아군을 돕는 것을 좋아한다.",
CHR_042_STORY,"마음은 착하지만 날개가 검은색 이라는 이유로 무리에서 쫒겨났다. 
직접적인 공격보다 버프,디버프, 힐들로 아군을 돕는 것을 좋아한다.",
CHR_042_SPECIES,나비,
SKL_2901_NAME,할퀴기,
SKL_2901_DESC,적 하나에게 강한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_2902_NAME,휩쓸기,
SKL_2902_DESC,적 전체에게 약한 피해를 입힙니다.,
SKL_2903_NAME,숨통 끊기,
SKL_2903_DESC,"대상이 잃은 체력에 비례해 최대 {e1_bonus:pct}까지 강한 피해량이 증가한 뒤, 체력이 가장 낮은 적에게 피해를 입힙니다.",
SKL_2904_NAME,마력탄,
SKL_2904_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상이 받는 피해량을 {e1_ratio:pct} 증가시킵니다.",
SKL_2905_NAME,파문,
SKL_2905_DESC,적 전체에게 약한 피해를 입힙니다.,
SKL_2906_NAME,표적 봉인,
SKL_2906_DESC,"대상이 잃은 체력에 비례해 최대 {e1_bonus:pct}까지 강한 피해량이 증가한 뒤, 체력이 가장 낮은 적에게 피해를 입힙니다.",
SKL_2907_NAME,심판의 빛,
SKL_2907_DESC,"적 하나에게 강한 피해를 입히고, 가한 피해의 {e1_ratio:pct}만큼 자신의 체력을 회복합니다.",
SKL_2908_NAME,성역,
SKL_2908_DESC,적 전체에게 약한 피해를 입힙니다.,
SKL_2909_NAME,자비 없는 손,
SKL_2909_DESC,"대상이 잃은 체력에 비례해 최대 {e1_bonus:pct}까지 강한 피해량이 증가한 뒤, 체력이 가장 낮은 적에게 피해를 입힙니다.",
SKL_2910_NAME,상처 봉합,
SKL_2910_DESC,"아군 전체의 해로운 상태를 해제하고, 체력을 최대치의 {e1_ratio:pct}만큼 회복시킵니다.",
SKL_2911_NAME,결속,
SKL_2911_DESC,{e1_turns}턴간 아군 전체의 공격력을 {e1_amount} 증가시킵니다.,
SKL_2025_NAME,범고래 크래쉬,
SKL_2025_DESC,적 전체에게 피해를 입힙니다.,
SKL_2002_NAME,흰 눈동자,
SKL_2002_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 공격력을 {e1_amount_abs} 감소시킵니다.",
SKL_2019_NAME,군체 분산,
SKL_2019_DESC,"{e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻고, {e2_turns}턴간 공격력을 {e2_amount} 증가시킵니다.",
SKL_2029_NAME,달빛 벼리기,
SKL_2029_DESC,{e1_turns}턴간 자신의 공격력을 {e1_amount} 증가시킵니다.,
SKL_2015_NAME,집요한 추적,
SKL_2015_DESC,적 하나에게 강한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_2011_NAME,돌진,
SKL_2011_DESC,"{e1_turns}턴간 자신의 방어력을 {e1_amount_abs} 감소시키는 대신, 적 하나에게 강한 피해를 입힙니다.",
SKL_2033_NAME,방벽,
SKL_2033_DESC,"아군 하나를 {e1_turns}턴간 수호합니다. 수호받는 아군을 겨눈 단일 공격은 자신이 대신 받고, 자신은 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다.",
SKL_2023_NAME,해류 감기,
SKL_2023_DESC,"적 하나에게 약한 피해를 입히고, {e1_turns}턴간 자신을 도발 상태로 만듭니다.",
SKL_2026_NAME,심해의 압력,
SKL_2026_DESC,"적 전체에게 약한 피해를 입히고, {e1_turns}턴간 자신을 도발 상태로 만듭니다.",
SKL_2003_NAME,점액 방벽,
SKL_2003_DESC,아군 전체에게 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 부여합니다.,
SKL_2007_NAME,집게 방패,
SKL_2007_DESC,"{e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻고, {e2_turns}턴간 자신을 도발 상태로 만듭니다.",
SKL_2012_NAME,군림,
SKL_2012_DESC,"{e1_turns}턴간 자신을 도발 상태로 만들고, 그동안 자신의 방어력을 {e2_amount} 증가시킵니다.",
SKL_2004_NAME,축복,
SKL_2004_DESC,"아군 하나의 체력을 최대치의 {e1_ratio:pct}만큼 회복시키고, 그 대상의 해로운 상태를 모두 해제합니다.",
SKL_2009_NAME,구름 나눔,
SKL_2009_DESC,"아군 하나의 투지를 {e1_amount} 증가시키고, 그 대상의 체력을 최대치의 {e2_ratio:pct}만큼 회복시킵니다.",
SKL_2016_NAME,성스러운 포효,
SKL_2016_DESC,"적 전체에게 약한 피해를 입히고, 아군 전체가 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 얻습니다.",
SKL_2017_NAME,숲의 결계,
SKL_2017_DESC,아군 전체에게 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 부여합니다.,
SKL_2028_NAME,보듬는 물결,
SKL_2028_DESC,체력이 가장 낮은 아군의 체력을 최대치의 {e1_ratio:pct}만큼 회복시킵니다.,
SKL_2042_NAME,정화의 날개,
SKL_2042_DESC,"아군 하나의 해로운 상태를 모두 해제한 뒤, 그 대상의 체력을 최대치의 {e2_ratio:pct}만큼 회복시킵니다.",
SKL_2039_NAME,낙하 준비,
SKL_2039_DESC,{e1_turns}턴간 자신의 공격력을 {e1_amount} 증가시킵니다.,
SKL_2020_NAME,특급 배송,
SKL_2020_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 속도와 무관하게 먼저 행동합니다. 같은 기간 동안 간파를 얻습니다.",
SKL_2038_NAME,급락,
SKL_2038_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 자신의 공격력을 {e1_amount} 증가시킵니다.",
SKL_2018_NAME,급습,
SKL_2018_DESC,적 하나에게 강한 피해를 입힙니다. 속도 보정이 높아 같은 라운드의 다른 기술보다 앞서 나갑니다.,
SKL_2030_NAME,사냥 개시,
SKL_2030_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 자신의 공격력을 {e1_amount} 증가시키며 {e2_turns}턴간 간파를 얻습니다.",
SKL_2037_NAME,응축,
SKL_2037_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 자신의 마력을 {e1_amount} 증가시킵니다.",
SKL_2005_NAME,뒤쫓기,
SKL_2005_DESC,적 하나에게 강한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_2031_NAME,몰아치기,
SKL_2031_DESC,"적 하나에게 약한 피해를 입히고, {e1_turns}턴간 특수기 사용을 봉인한 뒤 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e2_amount}의 고정 피해를 {e2_turns}턴간 입힙니다.",
SKL_2027_NAME,거미줄,
SKL_2027_DESC,"적 전체에게 약한 피해를 입히고, {e1_turns}턴간 속도를 {e1_amount_abs} 감소시킵니다.",
SKL_2032_NAME,벼린 칼날,
SKL_2032_DESC,{e1_turns}턴간 자신의 공격력을 {e1_amount} 증가시킵니다.,
SKL_2021_NAME,독 뿌리기,
SKL_2021_DESC,적 전체에게 약한 피해를 입히고 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.,
SKL_2041_NAME,연격,
SKL_2041_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 피해를 입힙니다. 그 뒤 가한 피해의 {e2_ratio:pct}만큼 자신도 피해를 입습니다.",
SKL_2001_NAME,늪의 온기,
SKL_2001_DESC,"자신의 체력을 최대치의 {e1_ratio:pct}만큼 깎고, 자신을 뺀 아군에게 {e2_turns}턴간 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 부여합니다.",
SKL_2022_NAME,산제물,
SKL_2022_DESC,"자신에게 출혈을 부여하고, {e2_turns}턴간 최대 체력의 {e2_ratio:pct}만큼 흡수하는 보호막을 얻습니다. 출혈은 매 라운드 종료 시 {e1_amount}의 고정 피해를 {e1_turns}턴간 입힙니다.",
SKL_2036_NAME,너도 날 사랑해?,
SKL_2036_DESC,"적 하나에게 약한 피해를 입히고, 그 대상의 이로운 상태를 모두 흡수합니다. 흡수한 하나마다 자신의 체력을 최대치의 {e1_ratio:pct}만큼 회복합니다.",
SKL_2024_NAME,검은 깃,
SKL_2024_DESC,"적 하나에게 피해를 입히고, 대상 최대 체력의 {e1_ratio:pct}만큼을 방어와 무관한 고정 피해로 더합니다. 그 뒤 {e2_turns}턴간 행동 불능 상태로 만들고 투지를 {e3_amount} 획득합니다.",
SKL_2035_NAME,집에 갈래!,
SKL_2035_DESC,"적 전체가 {e1_turns}턴간 받는 피해량을 {e1_ratio:pct} 증가시키고, 공격력을 {e2_amount_abs}, 속도를 {e3_amount_abs} 감소시킵니다. 같은 기간 동안 받는 회복량은 {e4_ratio:pct}로 줄어듭니다.",
SKL_2014_NAME,심해의 벽,
SKL_2014_DESC,"적 전체에게 약한 피해를 입히고, {e1_turns}턴간 속도를 {e1_amount_abs} 감소시킵니다.",
SKL_2040_NAME,결속,
SKL_2040_DESC,"{e1_turns}턴간 아군 전체의 공격력을 {e1_amount} 증가시키고, 투지를 {e2_amount} 획득합니다.",
SKL_2010_NAME,마력탄,
SKL_2010_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상이 받는 피해량을 {e1_ratio:pct} 증가시킵니다. 이 공격은 보호막을 지나쳐 체력을 직접 깎습니다.",
SKL_2008_NAME,썩는 물,
SKL_2008_DESC,"적 전체에게 약한 피해를 입히고, {e1_turns}턴간 받는 회복량을 {e1_ratio:pct}로 줄입니다.",
SKL_2034_NAME,사냥의 시간,
SKL_2034_DESC,"대상이 잃은 체력에 비례해 최대 {e1_bonus:pct}까지 강한 피해량이 증가한 뒤, 체력이 가장 낮은 적에게 피해를 입힙니다.",
SKL_2006_NAME,고독한 사냥,
SKL_2006_DESC,적 하나에게 강한 피해를 입힙니다. 쓰러진 아군 하나마다 이 피해가 {e1_per:pct}씩 늘어납니다.,
SKL_2013_NAME,목덜미,
SKL_2013_DESC,"적 하나에게 피해를 입히고 대상 최대 체력의 {e2_ratio:pct}만큼을 방어와 무관한 고정 피해로 더합니다. 가한 피해의 {e1_ratio:pct}만큼 자신의 체력을 회복하고, {e3_turns}턴간 간파를 얻습니다.",
